,Biden_prop,Biden_votes,Trump_prop,Trump_votes,flag,leading_candidate_name,leading_candidate_votes,state_name,time_stamp,total_votes_count,total_votes_received,trailing_candidate_name,trailing_candidate_votes,vote_count_prop,votes_remaining,flip
77,0.356286534475061,755724.0,0.6270670162315728,1330080.0,1.0,Trump,1330080.0,Kentucky,2020-11-04 14:00:00,2121113.0,2137959.0,Biden,755724.0,0.9921205224234889,16846.0,no
78,0.66838116121849,1611215.0,0.30917982612793454,745316.0,1.0,Biden,1611215.0,Massachusetts,2020-11-04 14:00:00,2410623.0,3631402.0,Trump,745316.0,0.663827083864579,1220779.0,no
79,0.33334730917085725,127209.0,0.6397823962097529,244148.0,1.0,Trump,244148.0,South Dakota,2020-11-04 14:00:00,381611.0,422775.0,Biden,127209.0,0.9026337886582698,41164.0,no
80,0.48949394102834515,2416822.0,0.49383267147879173,2438244.0,1.0,Trump,2438244.0,Michigan,2020-11-04 14:00:00,4937389.0,5539302.0,Biden,2416822.0,0.8913377533848127,601913.0,no
81,0.3736267700201117,1139364.0,0.6065940617241482,1849791.0,1.0,Trump,1849791.0,Tennessee,2020-11-04 14:00:00,3049471.0,3053851.0,Biden,1139364.0,0.9985657453490691,4380.0,no
82,0.3174471807107526,114687.0,0.6503616318689988,234962.0,1.0,Trump,234962.0,North Dakota,2020-11-04 14:00:00,361279.0,361819.0,Biden,114687.0,0.9985075410633494,540.0,no
83,0.3381125783917611,283102.0,0.6309009543760249,528254.0,1.0,Trump,528254.0,Idaho,2020-11-04 14:00:00,837301.0,868153.0,Biden,283102.0,0.9644624852992503,30852.0,no
84,0.4358988718415067,2350664.0,0.5506543868153175,2969504.0,1.0,Trump,2969504.0,Pennsylvania,2020-11-04 14:00:00,5392682.0,6925255.0,Biden,2350664.0,0.7786979685224588,1532573.0,no
85,0.35453838238228363,790711.0,0.6317909835422407,1409055.0,1.0,Trump,1409055.0,Alabama,2020-11-04 14:00:00,2230255.0,2323286.0,Biden,790711.0,0.9599571469031364,93031.0,no
86,0.2956574391382552,232424.0,0.68634035765259,539550.0,1.0,Trump,539550.0,West Virginia,2020-11-04 14:00:00,786126.0,794652.0,Biden,232424.0,0.9892707751317558,8526.0,no
